row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.014,0.015,0.015
t-stat.,(0.600),(0.465),(0.465)
G_it_x_theta_F_it,,-0.001,0.000
t-stat.,,(-0.037),(0.007)
theta_F_it,,,-0.008
t-stat.,,,(-0.277)
Real GDP,8.278***,8.273***,8.299***
t-stat.,(5.421),(5.352),(5.380)
Real GDP growth,-0.336***,-0.336***,-0.345***
t-stat.,(-3.703),(-3.704),(-3.532)
CPI inflation,-0.173**,-0.173**,-0.173**
t-stat.,(-2.082),(-2.078),(-2.108)
Overall balance/GDP,-0.476***,-0.476***,-0.475***
t-stat.,(-5.948),(-5.941),(-5.918)
International reserves,0.022,0.022,0.021
t-stat.,(1.578),(1.579),(1.479)
Government effectiveness,-2.099**,-2.097**,-2.140**
t-stat.,(-2.202),(-2.187),(-2.244)
Regulatory quality,1.576*,1.578*,1.482
t-stat.,(1.788),(1.780),(1.582)
Terms of trade,0.043***,0.043***,0.044***
t-stat.,(2.734),(2.732),(2.755)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.549,0.642,0.642
p(lambda1=0),,0.971,0.994
p(lambda2=0),,,0.782
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.423,0.422
