cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
2.522325686815249,1.8619822,1060,1056,4,.99622643,.003773585,1056,1
2.531280034047448,1.8619822,1060,1057,3,.99716979,.0028301887,1057,2
2.556524752942464,1.8619822,1060,1058,2,.99811321,.0018867925,1058,3
-.1749677805964306,1.9912156,1060,343,717,.32358491,.67641509,342,4
-.1697285009960739,1.9912796,1060,346,714,.32641509,.67358488,345,5
-.1677772787903426,1.9912796,1060,346,714,.32641509,.67358488,346,6
-.1746501634550195,1.9912802,1060,344,716,.32452831,.67547172,343,7
-.1705270505030543,1.9912802,1060,345,715,.3254717,.6745283,344,8
-.1752224444018573,1.9912804,1060,342,718,.32264152,.67735851,341,9
-.164296507880259,1.9914138,1060,352,708,.33207548,.66792452,352,10
-.1642343925786353,1.9914138,1060,353,707,.33301887,.66698116,353,11
-.1675642443197746,1.991504,1060,347,713,.32735848,.67264152,347,12
-.1937279703902095,1.9915173,1060,319,741,.3009434,.69905663,319,13
-.1645695187371919,1.9915291,1060,350,710,.33018869,.66981131,350,14
-.1643706143951955,1.9915291,1060,351,709,.33113208,.66886795,351,15
-.1502586028202528,1.9915316,1060,366,694,.34528303,.65471697,366,16
-.149793335769367,1.9915316,1060,367,693,.34622642,.65377361,367,17
-.1778465558634609,1.9915514,1060,339,721,.31981131,.68018866,338,18
-.177129712146475,1.9915514,1060,340,720,.32075471,.67924529,339,19
-.1754583391309415,1.9915514,1060,340,720,.32075471,.67924529,340,20
-.156746100732169,1.991555,1060,359,701,.33867925,.66132075,359,21
-.156330572384734,1.991555,1060,360,700,.33962265,.66037738,360,22
-.1661064090903227,1.9915737,1060,349,711,.32924527,.67075473,348,23
-.1657505795846563,1.9915737,1060,349,711,.32924527,.67075473,349,24
-.1804547947455059,1.9915816,1060,336,724,.31698114,.68301886,335,25
-.1802705732700716,1.9916002,1060,337,723,.31792453,.6820755,336,26
-.1791574616973177,1.9916002,1060,337,723,.31792453,.6820755,337,27
-.1525838126982501,1.9916413,1060,364,696,.34339622,.65660375,364,28
-.1540817510778763,1.9916691,1060,362,698,.34150943,.65849054,361,29
-.1538476243790023,1.9916691,1060,363,697,.34245282,.65754718,362,30
-.1532049184840055,1.9916691,1060,363,697,.34245282,.65754718,363,31
-.1961435136333955,1.9916725,1060,318,742,.30000001,.69999999,318,32
-.1428708617651449,1.9916909,1060,372,688,.35094339,.64905661,372,33
-.19020600630627,1.9917257,1060,324,736,.30566037,.69433963,323,34
-.1896723113266016,1.9917257,1060,324,736,.30566037,.69433963,324,35
-.1884778210572,1.9917265,1060,326,734,.30754718,.69245285,325,36
-.1881716356954082,1.9917265,1060,326,734,.30754718,.69245285,326,37
-.1421952843679411,1.9917332,1060,373,687,.35188678,.64811319,373,38
-.185637431230657,1.9917343,1060,329,731,.31037736,.68962264,328,39
-.1849995483085157,1.9917343,1060,329,731,.31037736,.68962264,329,40
-.1437668473504014,1.9917564,1060,370,690,.3490566,.6509434,370,41
-.1523585305920885,1.9917591,1060,365,695,.34433961,.65566039,365,42
-.1876694991835881,1.9917672,1060,327,733,.30849057,.69150943,327,43
-.1611164252156266,1.9917808,1060,355,705,.33490565,.66509432,355,44
-.1448883371563322,1.9917909,1060,369,691,.34811321,.65188682,369,45
-.1579607889590857,1.9917979,1060,357,703,.33679244,.66320753,356,46
-.1579403858413073,1.9917979,1060,358,702,.33773586,.66226417,357,47
-.1569128686629726,1.9917979,1060,358,702,.33773586,.66226417,358,48
-.145441834489077,1.9918004,1060,368,692,.34716982,.65283018,368,49
