row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.014,0.089**,0.089**
t-stat.,(0.600),(2.062),(2.051)
G_it_x_theta_F_it,,-0.114**,-0.116**
t-stat.,,(-2.162),(-2.194)
theta_F_it,,,0.016
t-stat.,,,(1.049)
Real GDP,8.278***,8.290***,7.694***
t-stat.,(5.421),(5.441),(5.231)
Real GDP growth,-0.336***,-0.337***,-0.332***
t-stat.,(-3.703),(-3.725),(-3.699)
CPI inflation,-0.173**,-0.171**,-0.171**
t-stat.,(-2.082),(-2.062),(-2.031)
Overall balance/GDP,-0.476***,-0.480***,-0.471***
t-stat.,(-5.948),(-6.013),(-5.906)
International reserves,0.022,0.022,0.023
t-stat.,(1.578),(1.545),(1.643)
Government effectiveness,-2.099**,-2.013**,-1.967**
t-stat.,(-2.202),(-2.122),(-2.083)
Regulatory quality,1.576*,1.596*,1.595*
t-stat.,(1.788),(1.814),(1.815)
Terms of trade,0.043***,0.045***,0.044***
t-stat.,(2.734),(2.805),(2.784)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.549,0.040,0.041
p(lambda1=0),,0.031,0.028
p(lambda2=0),,,0.294
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.424,0.425
