row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.072,-0.075,-0.035
t-stat.,(-0.555),(-0.585),(-0.270)
G_it_x_theta_F_it,,0.011,0.019
t-stat.,,(0.376),(0.664)
theta_F_it,,,-0.002***
t-stat.,,,(-2.724)
Real GDP,8.166***,8.203***,4.420**
t-stat.,(5.343),(5.458),(2.471)
Real GDP growth,-0.337***,-0.341***,-0.376***
t-stat.,(-3.587),(-3.653),(-4.070)
CPI inflation,-0.176**,-0.173**,-0.172**
t-stat.,(-2.074),(-2.084),(-2.147)
Overall balance/GDP,-0.472***,-0.473***,-0.451***
t-stat.,(-5.890),(-5.908),(-5.560)
International reserves,0.022,0.022,0.015
t-stat.,(1.571),(1.572),(1.101)
Government effectiveness,-2.008**,-1.987**,-1.042
t-stat.,(-2.043),(-1.995),(-0.985)
Regulatory quality,1.658*,1.638*,0.281
t-stat.,(1.860),(1.839),(0.296)
Terms of trade,0.043***,0.043***,0.038**
t-stat.,(2.735),(2.741),(2.485)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.579,0.559,0.787
p(lambda1=0),,0.707,0.507
p(lambda2=0),,,0.007
Observations,1044,1044,1044
Countries,59,59,59
Adjusted R2,0.420,0.420,0.437
