row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.072,-0.073,-0.036
t-stat.,(-0.555),(-0.568),(-0.283)
G_it_x_theta_F_it,,0.002,0.012
t-stat.,,(0.081),(0.506)
theta_F_it,,,-0.002***
t-stat.,,,(-3.190)
Real GDP,8.166***,8.178***,4.192**
t-stat.,(5.343),(5.521),(2.537)
Real GDP growth,-0.337***,-0.338***,-0.368***
t-stat.,(-3.587),(-3.654),(-4.058)
CPI inflation,-0.176**,-0.175**,-0.177**
t-stat.,(-2.074),(-2.079),(-2.133)
Overall balance/GDP,-0.472***,-0.472***,-0.455***
t-stat.,(-5.890),(-5.891),(-5.595)
International reserves,0.022,0.022,0.015
t-stat.,(1.571),(1.574),(1.132)
Government effectiveness,-2.008**,-2.004**,-0.976
t-stat.,(-2.043),(-2.019),(-0.939)
Regulatory quality,1.658*,1.651*,0.253
t-stat.,(1.860),(1.852),(0.277)
Terms of trade,0.043***,0.043***,0.037**
t-stat.,(2.735),(2.734),(2.479)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.579,0.570,0.777
p(lambda1=0),,0.935,0.613
p(lambda2=0),,,0.001
Observations,1044,1044,1044
Countries,59,59,59
Adjusted R2,0.420,0.420,0.438
