combo,G,X,table2_G,table2_G_t,table2_B,table2_X,table2_r2,full_GxB,full_GxX,theta_mean,theta_median,debt_baseline_G,debt_continuous_Gtheta,debt_full_theta_main,rss_cutoff,rss_lambda_L,rss_lambda_H,rss_p_equal,N,report
readiness100__vulnerability100,readiness100,vulnerability100,-2.877,(-1.442),4.316***,-2.192,0.899,-1.221,-48.531**,0.155,-0.143,0.056,-0.002,-0.004,9.982,0.045,64.856***,0.000,1060,result/gx_deltaG_grid/readiness100__vulnerability100/report.md
readiness100__vulnerability_delta100,readiness100,vulnerability_delta100,-3.047,(-1.554),4.137***,-4.214,0.900,-0.124,-23.668,1.593,1.309,0.056,-0.029,-0.029***,4.804,0.041,1.724**,0.020,1060,result/gx_deltaG_grid/readiness100__vulnerability_delta100/report.md
readiness100__capacity,readiness100,capacity,-2.880,(-1.435),4.354***,0.714,0.899,-4.523,-27.844**,0.277,-0.028,0.056,-0.004,-0.008,13.032,0.045,64.856***,0.000,1060,result/gx_deltaG_grid/readiness100__capacity/report.md
readiness100__sensitivity,readiness100,sensitivity,-3.101,(-1.536),4.373***,-6.227,0.900,0.074,-11.235,1.851,1.588,0.056,-0.055,-0.026***,2.272,0.153*,-0.139,0.047,1060,result/gx_deltaG_grid/readiness100__sensitivity/report.md
EcoReadiness100__vulnerability100,EcoReadiness100,vulnerability100,-1.494**,(-2.473),4.316***,-2.221,0.900,0.791,-13.295,0.137,0.067,0.014,-0.008,0.032**,-2.107,-13.309***,0.015,0.000,1060,result/gx_deltaG_grid/EcoReadiness100__vulnerability100/report.md
EcoReadiness100__vulnerability_delta100,EcoReadiness100,vulnerability_delta100,-1.519**,(-2.543),4.140***,-4.156,0.900,1.098,-6.568,0.597,0.602,0.014,-0.102**,0.011,-0.886,-13.309***,0.015,0.000,1060,result/gx_deltaG_grid/EcoReadiness100__vulnerability_delta100/report.md
EcoReadiness100__capacity,EcoReadiness100,capacity,-1.496**,(-2.461),4.357***,0.759,0.900,-0.268,-7.916*,0.164,0.001,0.014,-0.001,-0.008,2.522,0.012,63.921***,0.000,1060,result/gx_deltaG_grid/EcoReadiness100__capacity/report.md
EcoReadiness100__sensitivity,EcoReadiness100,sensitivity,-1.565**,(-2.560),4.375***,-6.341,0.900,1.234,-4.523,0.667,0.646,0.014,-0.114**,0.016,0.149,0.338***,0.006,0.001,1060,result/gx_deltaG_grid/EcoReadiness100__sensitivity/report.md
governance100__vulnerability100,governance100,vulnerability100,3.467,(0.832),4.271***,-2.600,0.900,-21.891,-33.593,0.450,-2.146,-0.072,0.010,-0.002***,-4.844,-16.688***,-0.054,0.000,1044,result/gx_deltaG_grid/governance100__vulnerability100/report.md
governance100__vulnerability_delta100,governance100,vulnerability_delta100,3.240,(0.784),4.122***,-3.644,0.900,-22.320,10.922,0.932,-2.237,-0.072,0.006,-0.002***,-3.491,-4.965***,-0.042,0.001,1044,result/gx_deltaG_grid/governance100__vulnerability_delta100/report.md
governance100__capacity,governance100,capacity,3.412,(0.818),4.303***,0.368,0.900,-23.605,-27.022,0.290,-1.904,-0.072,0.011,-0.002***,21.576,-0.120,2.277,0.257,1044,result/gx_deltaG_grid/governance100__capacity/report.md
governance100__sensitivity,governance100,sensitivity,3.441,(0.827),4.324***,-5.250,0.900,-22.775,24.189,0.847,-2.168,-0.072,0.002,-0.002***,76.762,-0.073,-19.052***,0.000,1044,result/gx_deltaG_grid/governance100__sensitivity/report.md
social100__vulnerability100,social100,vulnerability100,2.061,(0.638),4.302***,-1.809,0.899,-0.165,99.486,-3.341,-2.434,0.167,0.087,0.004,-20.035,-68.837***,0.171,0.000,1060,result/gx_deltaG_grid/social100__vulnerability100/report.md
social100__vulnerability_delta100,social100,vulnerability_delta100,1.731,(0.537),4.132***,-3.955,0.900,-0.897,110.101,-2.093,-1.479,0.167,-0.031,0.003,-8.616,-5.543**,0.185,0.009,1060,result/gx_deltaG_grid/social100__vulnerability_delta100/report.md
social100__capacity,social100,capacity,2.117,(0.658),4.336***,0.665,0.899,0.628,55.700,-3.559,-2.429,0.167,-0.005,0.003,-21.338,-86.650***,0.172,0.000,1060,result/gx_deltaG_grid/social100__capacity/report.md
social100__sensitivity,social100,sensitivity,1.856,(0.571),4.351***,-5.545,0.899,-2.343,54.593,-2.308,-1.677,0.167,0.023,0.003,-11.008,-10.390**,0.171,0.016,1060,result/gx_deltaG_grid/social100__sensitivity/report.md
readiness_delta100__vulnerability100,readiness_delta100,vulnerability100,-2.818,(-1.434),4.317***,-2.303,0.899,5.837,-28.465,-0.171,0.374,0.011,-0.004,0.008***,-18.502,9.802***,0.012,0.000,1060,result/gx_deltaG_grid/readiness_delta100__vulnerability100/report.md
readiness_delta100__vulnerability_delta100,readiness_delta100,vulnerability_delta100,-3.363*,(-1.737),4.122***,-4.639*,0.900,6.632,-55.167**,-0.391,0.304,0.011,-0.011,0.005***,-22.787,-6.313***,0.013,0.000,1060,result/gx_deltaG_grid/readiness_delta100__vulnerability_delta100/report.md
readiness_delta100__capacity,readiness_delta100,capacity,-2.804,(-1.423),4.355***,0.655,0.899,4.294,-12.987,0.070,0.462,0.011,-0.003,0.010***,-17.618,9.802***,0.012,0.000,1060,result/gx_deltaG_grid/readiness_delta100__capacity/report.md
readiness_delta100__sensitivity,readiness_delta100,sensitivity,-3.015,(-1.516),4.376***,-6.257,0.900,6.798,-12.432,0.498,1.051,0.011,-0.017,0.008***,-19.660,9.802***,0.012,0.000,1060,result/gx_deltaG_grid/readiness_delta100__sensitivity/report.md
