row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.056,0.061,0.075
t-stat.,(0.721),(0.644),(0.794)
G_it_x_theta_F_it,,-0.004,-0.005
t-stat.,,(-0.106),(-0.162)
theta_F_it,,,-0.008
t-stat.,,,(-1.558)
Real GDP,8.279***,8.265***,6.348***
t-stat.,(5.422),(5.390),(3.353)
Real GDP growth,-0.337***,-0.337***,-0.383***
t-stat.,(-3.737),(-3.742),(-4.073)
CPI inflation,-0.172**,-0.173**,-0.172**
t-stat.,(-2.077),(-2.079),(-2.190)
Overall balance/GDP,-0.477***,-0.477***,-0.460***
t-stat.,(-5.959),(-5.954),(-5.692)
International reserves,0.022,0.022,0.015
t-stat.,(1.583),(1.587),(1.084)
Government effectiveness,-2.121**,-2.119**,-1.799*
t-stat.,(-2.240),(-2.231),(-1.824)
Regulatory quality,1.573*,1.580*,0.649
t-stat.,(1.784),(1.783),(0.631)
Terms of trade,0.043***,0.043***,0.042***
t-stat.,(2.728),(2.725),(2.653)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.471,0.520,0.428
p(lambda1=0),,0.915,0.871
p(lambda2=0),,,0.120
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.423,0.432
