cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
13.03203226126846,1.861665,1060,1059,1,.99905658,.00094339624,1059,1
8.628521500597953,1.9742309,1060,1055,5,.99528301,.0047169812,1055,2
8.714288353172533,1.9769032,1060,1056,4,.99622643,.003773585,1056,3
8.726908336577555,1.9769651,1060,1057,3,.99716979,.0028301887,1057,4
8.790004090199623,1.9792086,1060,1058,2,.99811321,.0018867925,1058,5
8.600073732690099,1.9802885,1060,1054,6,.99433964,.0056603774,1054,6
8.582948281585031,1.9849358,1060,1053,7,.99339622,.0066037737,1053,7
8.567033461874241,1.9854755,1060,1052,8,.99245286,.0075471699,1052,8
-.6085049910132447,1.9897088,1060,428,632,.40377358,.59622639,428,9
-.6555378569479987,1.9897723,1060,421,639,.3971698,.60283017,421,10
-.6491572354969817,1.9897838,1060,423,637,.39905661,.60094339,423,11
-.6519551944194395,1.9897965,1060,422,638,.39811322,.60188681,422,12
-.6303871488811256,1.9897989,1060,427,633,.40283018,.59716982,427,13
-.6422988727828878,1.9898098,1060,424,636,.40000001,.60000002,424,14
-.6563476140626763,1.9899182,1060,420,640,.39622641,.60377359,420,15
-.6333937174562011,1.9899275,1060,426,634,.40188679,.59811318,426,16
-.6080354084102175,1.9899334,1060,429,631,.40471697,.59528303,429,17
-.5379598181651688,1.9899945,1060,445,615,.41981131,.58018869,445,18
-.525977394786458,1.9900229,1060,447,613,.42169812,.57830191,447,19
-.641922673321964,1.9900265,1060,425,635,.4009434,.5990566,425,20
-.5274287868016668,1.9900849,1060,446,614,.42075473,.57924527,446,21
-.6824807929597465,1.9901593,1060,418,642,.39433962,.60566038,418,22
-.5257222125217959,1.9901612,1060,448,612,.42264152,.57735848,448,23
-.6726572492478931,1.9901646,1060,419,641,.39528301,.60471696,419,24
-.6060052125772021,1.9902674,1060,430,630,.40566039,.59433961,430,25
-.5834240774852406,1.9902881,1060,432,628,.40754718,.59245282,432,26
-.710514717575462,1.9902884,1060,416,644,.39245284,.60754716,416,27
-.5826752605431079,1.9903018,1060,433,627,.40849057,.59150946,433,28
-.5563379652799418,1.9903082,1060,442,618,.41698113,.58301884,442,29
-.5447531438608114,1.9903253,1060,443,617,.41792452,.58207548,443,30
-.5439367062749338,1.9903404,1060,444,616,.41886792,.58113205,444,31
-.7145800255923833,1.990342,1060,415,645,.39150944,.60849059,415,32
-.682894299537204,1.9903542,1060,417,643,.39339623,.6066038,417,33
-.6049505792768249,1.990356,1060,431,629,.40660378,.59339625,431,34
-.5587596180128986,1.9906337,1060,441,619,.41603774,.58396226,441,35
-.564185395787318,1.9906358,1060,440,620,.41509435,.58490568,440,36
-.5662754485480836,1.9906384,1060,439,621,.41415095,.58584905,439,37
-.5684537550367769,1.9906458,1060,438,622,.41320756,.58679247,438,38
-.5793161856731577,1.9906576,1060,437,623,.41226414,.58773583,437,39
-.5801066180016012,1.9907275,1060,436,624,.41132075,.58867925,436,40
-.5824182732504107,1.9907337,1060,434,626,.40943396,.59056604,434,41
-.5810737946459559,1.990748,1060,435,625,.41037735,.58962262,435,42
-.5202652641422482,1.99081,1060,451,609,.42547169,.57452828,451,43
