row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.056,0.140,0.155
t-stat.,(0.721),(1.296),(1.428)
G_it_x_theta_F_it,,-0.055,-0.055
t-stat.,,(-0.812),(-0.788)
theta_F_it,,,-0.026***
t-stat.,,,(-3.146)
Real GDP,8.279***,8.329***,4.698***
t-stat.,(5.422),(5.438),(2.665)
Real GDP growth,-0.337***,-0.337***,-0.389***
t-stat.,(-3.737),(-3.734),(-4.157)
CPI inflation,-0.172**,-0.174**,-0.181**
t-stat.,(-2.077),(-2.084),(-2.307)
Overall balance/GDP,-0.477***,-0.479***,-0.487***
t-stat.,(-5.959),(-5.995),(-5.809)
International reserves,0.022,0.022,0.005
t-stat.,(1.583),(1.583),(0.340)
Government effectiveness,-2.121**,-2.116**,-0.786
t-stat.,(-2.240),(-2.234),(-0.753)
Regulatory quality,1.573*,1.576*,-0.409
t-stat.,(1.784),(1.784),(-0.391)
Terms of trade,0.043***,0.044***,0.037**
t-stat.,(2.728),(2.768),(2.443)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.471,0.195,0.154
p(lambda1=0),,0.417,0.431
p(lambda2=0),,,0.002
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.423,0.445
