cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
2.271996794417598,1.9879824,1060,747,313,.70471698,.29528302,747,1
2.272696195842953,1.9879967,1060,748,312,.7056604,.29433963,748,2
2.294120070252751,1.9880028,1060,753,307,.71037734,.28962263,752,3
2.282745361325992,1.9880147,1060,751,309,.70849055,.29150942,751,4
2.273728341415028,1.9881647,1060,750,310,.70754719,.29245284,749,5
2.282241766029384,1.9881647,1060,750,310,.70754719,.29245284,750,6
5.081390799504782,1.9882497,1060,1033,27,.97452831,.025471698,1033,7
2.324431917210036,1.9884756,1060,760,300,.71698111,.28301886,760,8
2.322760689851775,1.988528,1060,759,301,.71603775,.28396225,758,9
2.323141937888536,1.988528,1060,759,301,.71603775,.28396225,759,10
2.307487618611025,1.9885631,1060,754,306,.71132076,.28867924,753,11
2.307943268932866,1.9885631,1060,754,306,.71132076,.28867924,754,12
2.32127195102055,1.9885925,1060,757,303,.71415097,.28584906,757,13
2.317606459896032,1.9885927,1060,756,304,.71320754,.28679246,756,14
2.313281523599507,1.988593,1060,755,305,.71226418,.28773585,755,15
2.326215999443993,1.9887486,1060,761,299,.71792454,.28207546,761,16
2.33008225676382,1.9887509,1060,762,298,.7188679,.28113207,762,17
2.334500651685293,1.9889257,1060,765,295,.72169811,.27830189,764,18
2.342501931746753,1.9889257,1060,765,295,.72169811,.27830189,765,19
2.331687460254635,1.9889365,1060,763,297,.71981132,.28018868,763,20
2.347951058002553,1.9889646,1060,771,289,.72735852,.27264151,770,21
2.350846662125452,1.9889646,1060,771,289,.72735852,.27264151,771,22
2.351148488909612,1.9889787,1060,773,287,.72924531,.27075472,772,23
2.351730368042633,1.9889787,1060,773,287,.72924531,.27075472,773,24
2.343503675956615,1.9890046,1060,766,294,.72264153,.2773585,766,25
2.345965845678989,1.9891106,1060,769,291,.72547168,.27452829,768,26
2.346737440480557,1.9891106,1060,769,291,.72547168,.27452829,769,27
