row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.011,0.014,0.008
t-stat.,(0.125),(0.122),(0.072)
G_it_x_theta_F_it,,-0.003,0.017
t-stat.,,(-0.058),(0.353)
theta_F_it,,,0.010***
t-stat.,,,(3.764)
Real GDP,8.266***,8.250***,4.907***
t-stat.,(5.416),(5.370),(3.464)
Real GDP growth,-0.334***,-0.334***,-0.336***
t-stat.,(-3.606),(-3.551),(-3.669)
CPI inflation,-0.173**,-0.172**,-0.177**
t-stat.,(-2.077),(-2.068),(-2.082)
Overall balance/GDP,-0.475***,-0.475***,-0.461***
t-stat.,(-5.944),(-5.937),(-5.684)
International reserves,0.022,0.022,0.019
t-stat.,(1.566),(1.565),(1.367)
Government effectiveness,-2.081**,-2.074**,-1.208
t-stat.,(-2.194),(-2.171),(-1.258)
Regulatory quality,1.557*,1.558*,0.639
t-stat.,(1.758),(1.754),(0.731)
Terms of trade,0.043***,0.043***,0.037**
t-stat.,(2.737),(2.733),(2.462)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.901,0.903,0.942
p(lambda1=0),,0.954,0.724
p(lambda2=0),,,0.000
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.422,0.437
