row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.011,0.027,0.014
t-stat.,(0.125),(0.243),(0.126)
G_it_x_theta_F_it,,-0.017,0.013
t-stat.,,(-0.328),(0.262)
theta_F_it,,,0.008***
t-stat.,,,(3.196)
Real GDP,8.266***,8.193***,4.741***
t-stat.,(5.416),(5.375),(2.977)
Real GDP growth,-0.334***,-0.332***,-0.350***
t-stat.,(-3.606),(-3.582),(-3.876)
CPI inflation,-0.173**,-0.171**,-0.176**
t-stat.,(-2.077),(-2.066),(-2.100)
Overall balance/GDP,-0.475***,-0.476***,-0.456***
t-stat.,(-5.944),(-5.950),(-5.657)
International reserves,0.022,0.022,0.017
t-stat.,(1.566),(1.547),(1.280)
Government effectiveness,-2.081**,-2.033**,-1.341
t-stat.,(-2.194),(-2.133),(-1.374)
Regulatory quality,1.557*,1.549*,0.515
t-stat.,(1.758),(1.755),(0.585)
Terms of trade,0.043***,0.043***,0.038**
t-stat.,(2.737),(2.734),(2.517)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.901,0.808,0.900
p(lambda1=0),,0.743,0.793
p(lambda2=0),,,0.001
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.423,0.438
