cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
-19.66021060475314,1.9871497,1060,2,1058,.0018867925,.99811321,1,1
-18.38943365022297,1.9871497,1060,2,1058,.0018867925,.99811321,2,2
-14.17560585321731,1.9882716,1060,6,1054,.0056603774,.99433964,5,3
-14.16316644588987,1.9882716,1060,6,1054,.0056603774,.99433964,6,4
-16.31902077281058,1.9909514,1060,4,1056,.003773585,.99622643,3,5
-14.71237030142352,1.9909514,1060,4,1056,.003773585,.99622643,4,6
.9373556801056432,1.9915398,1060,414,646,.39056605,.60943395,414,7
.9328074570530273,1.9916254,1060,413,647,.38962263,.61037737,413,8
.693074538381842,1.9920392,1060,283,777,.26698112,.73301888,283,9
.7176154412565606,1.9921669,1060,289,771,.27264151,.72735852,289,10
.7174544052871151,1.9922051,1060,288,772,.27169812,.72830188,288,11
.7178556106059512,1.9922265,1060,290,770,.2735849,.7264151,290,12
.7172026627989406,1.9922745,1060,287,773,.27075472,.72924531,287,13
.7183905951188876,1.9924135,1060,291,769,.27452829,.72547168,291,14
.6908325734980068,1.9924575,1060,282,778,.26603773,.73396224,282,15
.7151185292122267,1.9924871,1060,286,774,.26981133,.73018867,286,16
.707097398437932,1.9924933,1060,285,775,.26886791,.73113209,285,17
.6902881954427813,1.9925201,1060,281,779,.26509434,.73490566,281,18
.688741569548156,1.9925231,1060,280,780,.26415095,.73584908,280,19
.7229220726358837,1.9925495,1060,292,768,.27547169,.72452831,292,20
.6820735526211248,1.9925505,1060,279,781,.26320755,.73679245,279,21
.7019767008514967,1.9925594,1060,284,776,.26792452,.73207545,284,22
.7391663274649871,1.9927006,1060,296,764,.27924529,.72075474,296,23
.7324730566544739,1.9927197,1060,294,766,.2773585,.72264153,294,24
.7362311684445464,1.9927212,1060,295,765,.27830189,.72169811,295,25
.7301741421122704,1.9927483,1060,293,767,.27641508,.72358489,293,26
.9311637336047557,1.9929739,1060,411,649,.38773584,.61226416,411,27
-3.071623645292041,1.9930668,1060,54,1006,.050943397,.94905663,53,28
-2.820776028888485,1.9930668,1060,54,1006,.050943397,.94905663,54,29
-3.118349755755408,1.9931504,1060,53,1007,.050000001,.94999999,52,30
.9312223651023193,1.9931759,1060,412,648,.38867924,.61132073,412,31
-2.638262019255094,1.9933242,1060,55,1005,.051886793,.9481132,55,32
-3.137262322127355,1.9934287,1060,51,1009,.048113208,.95188677,51,33
-5.591305714212583,1.9934326,1060,29,1031,.027358491,.97264153,29,34
-8.721109466215818,1.9935168,1060,24,1036,.02264151,.97735852,24,35
1.218278164058033,1.9935296,1060,688,372,.64905661,.35094339,687,36
1.221994028879018,1.9936023,1060,689,371,.64999998,.34999999,688,37
1.22904743074248,1.9936023,1060,689,371,.64999998,.34999999,689,38
-3.215725799656777,1.9936142,1060,50,1010,.047169812,.9528302,50,39
1.156368950467512,1.9936734,1060,639,421,.60283017,.3971698,639,40
1.156221044742735,1.9936781,1060,638,422,.60188681,.39811322,638,41
1.155978375502355,1.9937054,1060,637,423,.60094339,.39905661,637,42
1.163420773985431,1.9937086,1060,648,412,.61132073,.38867924,647,43
1.163431106595334,1.9937086,1060,648,412,.61132073,.38867924,648,44
1.165136291509532,1.9937198,1060,649,411,.61226416,.38773584,649,45
1.1549567362516,1.9937471,1060,635,425,.5990566,.4009434,634,46
1.154974533295949,1.9937471,1060,635,425,.5990566,.4009434,635,47
-13.89081855720888,1.993781,1060,9,1051,.0084905662,.99150944,8,48
1.154219190672767,1.9938108,1060,633,427,.59716982,.40283018,632,49
1.154534863988392,1.9938217,1060,634,426,.59811318,.40188679,633,50
1.155927697934682,1.9938294,1060,636,424,.60000002,.40000001,636,51
1.16680080455438,1.9938519,1060,652,408,.61509436,.38490567,651,52
1.16750810591372,1.9938519,1060,652,408,.61509436,.38490567,652,53
-3.309948063942286,1.9938618,1060,49,1011,.046226416,.95377356,48,54
-3.267734129571782,1.9938618,1060,49,1011,.046226416,.95377356,49,55
1.165519722114414,1.9938692,1060,650,410,.61320752,.38679245,650,56
1.237966574355444,1.9938726,1060,691,369,.65188682,.34811321,690,57
1.239410608998017,1.9938726,1060,691,369,.65188682,.34811321,691,58
-3.349548214685152,1.9938822,1060,48,1012,.04528302,.95471698,47,59
-13.7861467238078,1.9938996,1060,10,1050,.0094339624,.99056602,9,60
-13.6681658847898,1.9938996,1060,10,1050,.0094339624,.99056602,10,61
-13.38463699935132,1.9939094,1060,11,1049,.010377359,.98962265,11,62
1.257145318402594,1.9939263,1060,703,357,.66320753,.33679244,702,63
1.14936484234725,1.9939381,1060,629,431,.59339625,.40660378,628,64
1.151446944203588,1.9939381,1060,629,431,.59339625,.40660378,629,65
1.168300830893086,1.9939445,1060,654,406,.61698115,.38301888,653,66
1.15318471509739,1.9939514,1060,631,429,.59528303,.40471697,631,67
1.151501698016389,1.9939545,1060,630,430,.59433961,.40566039,630,68
1.158042214902367,1.993961,1060,642,418,.60566038,.39433962,641,69
1.158150590013981,1.993961,1060,642,418,.60566038,.39433962,642,70
1.159620631225942,1.9939618,1060,643,417,.6066038,.39339623,643,71
