cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
-21.33755552337895,1.8574231,1060,1,1059,.00094339624,.99905658,1,1
-19.12775072816287,1.8701791,1060,7,1053,.0066037737,.99339622,7,2
-20.20111026926279,1.8716638,1060,5,1055,.0047169812,.99528301,5,3
-19.59785524659008,1.873449,1060,6,1054,.0056603774,.99433964,6,4
-21.11511974374451,1.8845991,1060,2,1058,.0018867925,.99811321,2,5
-21.06881501018438,1.8978271,1060,3,1057,.0028301887,.99716979,3,6
-19.06055211679476,1.9042966,1060,8,1052,.0075471699,.99245286,8,7
-20.27998899477437,1.9053115,1060,4,1056,.003773585,.99622643,4,8
-16.88244425862196,1.9304522,1060,15,1045,.014150944,.98584908,15,9
-18.86440182171274,1.9310238,1060,10,1050,.0094339624,.99056602,9,10
-18.09567810541836,1.9310238,1060,10,1050,.0094339624,.99056602,10,11
-16.8045089732987,1.9331328,1060,17,1043,.016037736,.98396224,16,12
-17.58629305219075,1.9340384,1060,13,1047,.012264151,.98773587,12,13
-17.22503845480844,1.9340384,1060,13,1047,.012264151,.98773587,13,14
-17.03857761675321,1.9340384,1060,14,1046,.013207547,.98679245,14,15
-17.98865111640037,1.9437248,1060,11,1049,.010377359,.98962265,11,16
-15.74087371350215,1.9472351,1060,20,1040,.018867925,.98113209,19,17
-15.45278951983184,1.9481075,1060,21,1039,.019811321,.98018867,20,18
-15.43130776253102,1.9481075,1060,21,1039,.019811321,.98018867,21,19
-16.75301228567852,1.9507799,1060,18,1042,.016981132,.98301888,17,20
-16.40254760053449,1.9507799,1060,18,1042,.016981132,.98301888,18,21
-15.1431476719775,1.959708,1060,25,1035,.023584906,.9764151,25,22
-15.34691047512766,1.9601916,1060,24,1036,.02264151,.97735852,23,23
-15.31501608636083,1.9601916,1060,24,1036,.02264151,.97735852,24,24
-11.75739154001515,1.9605616,1060,59,1001,.055660378,.94433963,58,25
-11.72714431740609,1.9605616,1060,59,1001,.055660378,.94433963,59,26
-11.61381914087325,1.9613779,1060,60,1000,.056603774,.94339621,60,27
-11.50285226046091,1.961462,1060,61,999,.057547171,.94245285,61,28
-11.76670799274878,1.9616629,1060,57,1003,.053773586,.94622642,57,29
-12.7698442339004,1.9618154,1060,46,1014,.043396227,.95660377,46,30
-12.34831466560406,1.9621308,1060,52,1008,.049056605,.95094341,51,31
-12.56119811609178,1.9622846,1060,49,1011,.046226416,.95377356,48,32
-12.48103672865801,1.9622846,1060,49,1011,.046226416,.95377356,49,33
-12.68173811437476,1.9624064,1060,47,1013,.044339623,.9556604,47,34
-12.47426159092258,1.962559,1060,50,1010,.047169812,.9528302,50,35
-14.4188351092049,1.9626635,1060,31,1029,.029245283,.97075474,30,36
-14.19080373811956,1.9626635,1060,31,1029,.029245283,.97075474,31,37
-14.79629347194039,1.9629681,1060,28,1032,.026415095,.97358489,27,38
-14.74696921005751,1.9629681,1060,28,1032,.026415095,.97358489,28,39
-15.09263935792862,1.9631585,1060,27,1033,.025471698,.97452831,26,40
-11.90149259488779,1.9631625,1060,56,1004,.052830189,.94716984,55,41
-11.86145266465202,1.9631625,1060,56,1004,.052830189,.94716984,56,42
-13.84779095035074,1.963402,1060,35,1025,.033018868,.96698111,34,43
-13.79993470026222,1.963402,1060,35,1025,.033018868,.96698111,35,44
-13.56335881448311,1.9639792,1060,36,1024,.033962265,.96603775,36,45
-15.38963233230017,1.9644276,1060,23,1037,.021698114,.97830188,22,46
-14.46735858922383,1.9646288,1060,29,1031,.027358491,.97264153,29,47
-10.87093087629843,1.9649025,1060,73,987,.068867922,.93113208,73,48
-11.49085996748782,1.9649754,1060,62,998,.058490567,.94150943,62,49
-12.08913918444689,1.9650409,1060,53,1007,.050000001,.94999999,52,50
-12.06878672926293,1.9650409,1060,53,1007,.050000001,.94999999,53,51
-13.97359709467661,1.9652851,1060,33,1027,.031132076,.9688679,32,52
-13.48153489569394,1.9654678,1060,38,1022,.035849057,.96415097,37,53
-13.48098262395524,1.9654678,1060,38,1022,.035849057,.96415097,38,54
-13.88598377421093,1.9654918,1060,34,1026,.032075472,.96792454,33,55
-11.04125654980089,1.965929,1060,72,988,.067924529,.9320755,71,56
-10.88013329854904,1.965929,1060,72,988,.067924529,.9320755,72,57
-11.1446360067162,1.9659522,1060,71,989,.066981129,.93301886,70,58
-12.04483650619325,1.9663221,1060,55,1005,.051886793,.9481132,54,59
-11.26844540384623,1.966404,1060,68,992,.064150944,.93584907,68,60
-11.21574794847798,1.9666245,1060,70,990,.066037737,.93396229,69,61
-11.28643502038525,1.9671462,1060,67,993,.063207544,.93679243,67,62
-11.38782049974213,1.9672883,1060,66,994,.062264152,.93773586,66,63
-11.43155415839835,1.9674987,1060,65,995,.061320756,.93867922,64,64
-11.42516791762846,1.9674987,1060,65,995,.061320756,.93867922,65,65
-11.43610186729255,1.9677867,1060,64,996,.060377359,.93962264,63,66
-13.01403428007118,1.9702469,1060,45,1015,.042452831,.95754719,44,67
-12.87018382311893,1.9702469,1060,45,1015,.042452831,.95754719,45,68
-13.15983063828052,1.9712207,1060,43,1017,.040566038,.95943397,42,69
-13.01528801329863,1.9712207,1060,43,1017,.040566038,.95943397,43,70
-13.3657329132622,1.9712601,1060,40,1020,.03773585,.96226418,40,71
-13.45690842688272,1.9714679,1060,39,1021,.036792453,.96320754,39,72
-13.33257991776962,1.9716548,1060,42,1018,.039622642,.96037734,41,73
-10.76112736063071,1.972955,1060,76,984,.071698114,.92830187,75,74
-10.86382913145117,1.9730055,1060,74,986,.069811322,.93018866,74,75
-10.64434041715555,1.973803,1060,77,983,.072641507,.92735851,76,76
-10.49703778000944,1.973803,1060,77,983,.072641507,.92735851,77,77
-10.46626056183833,1.9739791,1060,78,982,.073584907,.92641509,78,78
-1.68641824257567,1.9754106,1060,585,475,.5518868,.4481132,585,79
-1.683505813945852,1.9764032,1060,586,474,.55283016,.44716981,586,80
-1.67170631534013,1.9764189,1060,587,473,.55377358,.44622642,587,81
-1.728631523334208,1.9770919,1060,584,476,.55094337,.4490566,584,82
-1.658343067142156,1.9771203,1060,588,472,.554717,.44528303,588,83
-1.536091099914821,1.9771864,1060,603,457,.56886792,.43113208,602,84
-1.535119734615829,1.9771864,1060,603,457,.56886792,.43113208,603,85
-1.730323129201369,1.9772204,1060,583,477,.55000001,.44999999,583,86
-1.652872605255764,1.9772265,1060,589,471,.55566037,.44433963,589,87
-8.935439610210901,1.9772909,1060,97,963,.091509432,.90849054,97,88
-1.548200430139674,1.9774652,1060,602,458,.5679245,.43207547,601,89
