cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
.5451413431962638,1.9782215,1060,420,640,.39622641,.60377359,420,1
.5450499712881511,1.9782388,1060,419,641,.39528301,.60471696,419,2
.5420034709057863,1.9782729,1060,415,645,.39150944,.60849059,415,3
.5437350359093784,1.9782816,1060,417,643,.39339623,.6066038,417,4
.5437712023232634,1.9782816,1060,418,642,.39433962,.60566038,418,5
.5430856015502962,1.9783481,1060,416,644,.39245284,.60754716,416,6
.5476204451460874,1.9783558,1060,421,639,.3971698,.60283017,421,7
.5385807519785488,1.9784867,1060,408,652,.38490567,.61509436,408,8
.5386411154325375,1.9784867,1060,409,651,.38584906,.61415094,409,9
.5335683008656104,1.9784957,1060,405,655,.38207546,.61792451,405,10
.5388972405877849,1.9785055,1060,410,650,.38679245,.61320752,410,11
.534690358358577,1.9785682,1060,406,654,.38301888,.61698115,406,12
.5349755373388633,1.9785682,1060,407,653,.38396227,.61603773,407,13
.5329375950396454,1.9785908,1060,404,656,.38113207,.61886793,404,14
.5409913099972036,1.9786496,1060,413,647,.38962263,.61037737,413,15
.525007755121437,1.9786527,1060,397,663,.37452829,.62547171,397,16
.5269187884033844,1.9786527,1060,398,662,.37547171,.62452829,398,17
.527975691884019,1.9786527,1060,399,661,.3764151,.62358493,399,18
.5409822624317666,1.978654,1060,412,648,.38867924,.61132073,412,19
.5318377569685958,1.978668,1060,403,657,.38018867,.6198113,403,20
.5399062415834021,1.9786887,1060,411,649,.38773584,.61226416,411,21
.5305434301522696,1.9786967,1060,401,659,.37830189,.62169814,401,22
.530856672266296,1.9786967,1060,402,658,.37924528,.62075472,402,23
.5296275392268266,1.9787148,1060,400,660,.3773585,.6226415,400,24
.5414735762751614,1.9787282,1060,414,646,.39056605,.60943395,414,25
.5236561218599665,1.9787325,1060,396,664,.3735849,.62641507,396,26
.5504882489611254,1.978985,1060,424,636,.40000001,.60000002,424,27
.5491671456362203,1.9790043,1060,423,637,.39905661,.60094339,423,28
.5510071112779895,1.9790704,1060,425,635,.4009434,.5990566,425,29
.5480516975572522,1.9790722,1060,422,638,.39811322,.60188681,422,30
.5521580247294088,1.9790968,1060,426,634,.40188679,.59811318,426,31
.5524469761924411,1.9791422,1060,427,633,.40283018,.59716982,427,32
.5560255270199614,1.9791658,1060,433,627,.40849057,.59150946,433,33
.5571785793416909,1.9791658,1060,434,626,.40943396,.59056604,434,34
