cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
70.38942578989034,1.9668998,1044,1041,3,.99712646,.0028735632,1042,1
55.71645408210738,1.9685544,1044,1036,8,.99233717,.0076628351,1037,2
55.6292395789508,1.969123,1044,1035,9,.99137932,.0086206896,1036,3
53.12435687019511,1.9691556,1044,1034,10,.99042147,.0095785437,1035,4
51.94787572650572,1.9696119,1044,1032,12,.98850572,.011494253,1033,5
52.71751957313576,1.9697757,1044,1033,11,.98946363,.010536399,1034,6
60.32307046744006,1.9715071,1044,1038,6,.99425286,.0057471264,1039,7
6.475341066434633,1.9717703,1044,932,112,.89272028,.1072797,933,8
6.455331440606201,1.9720529,1044,931,113,.89176244,.10823755,932,9
6.760522205031834,1.9720937,1044,935,109,.89559388,.10440613,936,10
6.92343959765555,1.9722397,1044,936,108,.89655173,.10344828,937,11
7.044038223609401,1.9722558,1044,937,107,.89750957,.10249043,938,12
6.380501450427923,1.9723885,1044,928,116,.8888889,.11111111,929,13
6.484865897859596,1.9724718,1044,933,111,.89367819,.10632184,934,14
7.044206279314862,1.9724926,1044,938,106,.89846742,.10153256,939,15
6.604833815826026,1.9726162,1044,934,110,.89463603,.10536399,935,16
6.399841856654553,1.9726328,1044,929,115,.88984674,.11015326,930,17
6.407579333378511,1.9726617,1044,930,114,.89080459,.1091954,931,18
55.97369344011532,1.9728326,1044,1037,7,.99329501,.006704981,1038,19
7.046264850260342,1.9728804,1044,939,105,.89942527,.10057471,940,20
48.83341524236958,1.9738783,1044,1031,13,.98754787,.012452107,1031,21
49.03899454397641,1.9738783,1044,1031,13,.98754787,.012452107,1032,22
47.74822914765369,1.9740305,1044,1029,15,.98563218,.014367816,1030,23
73.54212618063474,1.975042,1044,1042,2,.99808431,.0019157088,1043,24
75.50048014113017,1.9778337,1044,1043,1,.99904215,.00095785438,1044,25
5.133736349423366,1.9783455,1044,917,127,.87835246,.12164751,918,26
4.987729273368056,1.9784546,1044,916,128,.87739462,.12260536,917,27
8.053687131975947,1.9785768,1044,946,98,.90613025,.093869731,947,28
4.912043900304549,1.978592,1044,915,129,.87643677,.12356322,916,29
8.122055849129977,1.9786172,1044,947,97,.9070881,.092911877,948,30
8.126451718763992,1.9786371,1044,948,96,.90804595,.091954023,949,31
7.363673682144727,1.9790418,1044,940,104,.90038311,.099616855,941,32
5.200538466716957,1.9791871,1044,918,126,.87931037,.12068965,919,33
4.833775039656132,1.9792228,1044,914,130,.87547892,.12452107,915,34
5.294362053944794,1.9792284,1044,919,125,.88026822,.1197318,920,35
7.974345601271741,1.9792653,1044,944,100,.90421456,.095785439,945,36
8.012540191394343,1.9794363,1044,945,99,.90517241,.094827585,946,37
5.321216718583196,1.9795699,1044,920,124,.88122606,.11877394,921,38
7.797000687039481,1.9798115,1044,943,101,.90325671,.096743293,944,39
6.00410187362005,1.9798334,1044,926,118,.8869732,.11302682,926,40
6.064727981331443,1.9798334,1044,926,118,.8869732,.11302682,927,41
6.34491252635184,1.9799578,1044,927,117,.88793105,.11206897,928,42
5.953484987733774,1.9800953,1044,924,120,.88505745,.11494253,925,43
7.546545465003106,1.9801252,1044,942,102,.90229887,.097701147,943,44
7.511723866104808,1.9801642,1044,941,103,.90134102,.098659001,942,45
19.26923331124657,1.9802136,1044,1003,41,.96072799,.039272029,1004,46
5.356949989888831,1.9803095,1044,921,123,.88218391,.11781609,922,47
5.59052924391469,1.9804167,1044,923,121,.8840996,.11590038,924,48
5.501068997853612,1.9805086,1044,922,122,.88314176,.11685824,923,49
8.601066609683894,1.980788,1044,950,94,.9099617,.090038314,951,50
8.259960559994337,1.9811727,1044,949,95,.90900385,.090996169,950,51
8.650343759318908,1.9813933,1044,951,93,.91091955,.08908046,952,52
25.83144809011917,1.9826351,1044,1011,33,.96839082,.031609196,1012,53
27.86256842351602,1.9828506,1044,1012,32,.96934867,.03065134,1013,54
4.513814041192768,1.983498,1044,908,136,.86973178,.1302682,909,55
4.535106930006928,1.9835556,1044,909,135,.87068963,.12931034,910,56
4.454224208621841,1.9835707,1044,907,137,.86877394,.13122605,908,57
39.36920987583027,1.9836035,1044,1023,21,.97988504,.020114943,1024,58
-8.680988746335869,1.9837838,1044,9,1035,.0086206896,.99137932,10,59
4.398908715596763,1.9839572,1044,906,138,.86781609,.13218391,907,60
42.02605481807552,1.9840283,1044,1025,19,.98180079,.018199233,1026,61
40.30249948489563,1.9840829,1044,1024,20,.98084289,.019157087,1025,62
24.72939407060711,1.9841268,1044,1009,35,.96647507,.033524904,1010,63
25.08096380122056,1.9841697,1044,1010,34,.96743298,.03256705,1011,64
4.362105353297393,1.984177,1044,905,139,.86685824,.13314176,906,65
-8.989003392824467,1.9843228,1044,7,1037,.006704981,.99329501,8,66
44.0959837814661,1.9844334,1044,1027,17,.98371649,.016283525,1027,67
45.07401820325216,1.9844334,1044,1027,17,.98371649,.016283525,1028,68
47.23803746915285,1.9844521,1044,1028,16,.98467433,.01532567,1029,69
9.111201211512792,1.9845039,1044,954,90,.91379309,.086206898,955,70
8.742397039822261,1.9845366,1044,952,92,.91187739,.088122606,953,71
9.021991901190439,1.9845381,1044,953,91,.91283524,.087164752,954,72
11.6893430249025,1.9845712,1044,973,71,.93199235,.068007663,973,73
11.74679022781989,1.9845712,1044,973,71,.93199235,.068007663,974,74
-8.884194657206235,1.9846251,1044,8,1036,.0076628351,.99233717,9,75
9.148885743322698,1.9847236,1044,955,89,.91475093,.085249044,956,76
4.572028918949499,1.9847256,1044,910,134,.87164754,.12835249,911,77
4.727851283309979,1.9847889,1044,912,132,.87356323,.12643678,913,78
4.57209117026105,1.9848009,1044,911,133,.87260538,.12739463,912,79
37.28358256911253,1.9849246,1044,1022,22,.9789272,.021072797,1022,80
38.65003064269506,1.9849246,1044,1022,22,.9789272,.021072797,1023,81
-7.191486388827955,1.985011,1044,20,1024,.019157087,.98084289,21,82
4.818915915023176,1.9850144,1044,913,131,.87452108,.12547892,914,83
-7.04820433670154,1.9850321,1044,21,1023,.020114943,.97988504,22,84
-7.644726845705983,1.9850477,1044,13,1031,.012452107,.98754787,14,85
-7.491874395724905,1.985131,1044,14,1030,.013409962,.98659003,15,86
61.9823442937459,1.9852895,1044,1040,4,.99616855,.0038314175,1040,87
66.33786864480032,1.9852895,1044,1040,4,.99616855,.0038314175,1041,88
11.35831777541993,1.9854378,1044,971,73,.9300766,.069923371,971,89
11.38941809497611,1.9854378,1044,971,73,.9300766,.069923371,972,90
-7.243208227510348,1.9854838,1044,19,1025,.018199233,.98180079,20,91
-7.32079881456972,1.9855572,1044,17,1027,.016283525,.98371649,18,92
-8.085237459142025,1.9856191,1044,10,1034,.0095785437,.99042147,11,93
-7.396773858327258,1.9856449,1044,16,1028,.01532567,.98467433,17,94
-12.35575830680533,1.9856704,1044,6,1038,.0057471264,.99425286,6,95
-9.931361894869358,1.9856704,1044,6,1038,.0057471264,.99425286,7,96
-7.438885420342789,1.9856799,1044,15,1029,.014367816,.98563218,16,97
-7.320415930884517,1.9857166,1044,18,1026,.017241379,.98275864,19,98
12.61072824105801,1.9857312,1044,975,69,.93390805,.066091955,975,99
-8.034363687152037,1.9857503,1044,11,1033,.010536399,.98946363,12,100
-7.648637003009684,1.985761,1044,12,1032,.011494253,.98850572,13,101
-6.762734651164338,1.9858081,1044,23,1021,.022030652,.97796935,23,102
-6.725881590096744,1.9858081,1044,23,1021,.022030652,.97796935,24,103
9.259497416071127,1.9858209,1044,957,87,.91666669,.083333336,958,104
9.162356737474502,1.9858235,1044,956,88,.91570884,.08429119,957,105
