row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.072,-0.074,-0.055
t-stat.,(-0.555),(-0.575),(-0.425)
G_it_x_theta_F_it,,0.013,0.008
t-stat.,,(0.682),(0.435)
theta_F_it,,,-0.001**
t-stat.,,,(-2.183)
Real GDP,8.166***,8.185***,6.732***
t-stat.,(5.343),(5.379),(4.536)
Real GDP growth,-0.337***,-0.343***,-0.350***
t-stat.,(-3.587),(-3.671),(-3.770)
CPI inflation,-0.176**,-0.166**,-0.159**
t-stat.,(-2.074),(-2.033),(-2.049)
Overall balance/GDP,-0.472***,-0.473***,-0.462***
t-stat.,(-5.890),(-5.897),(-5.681)
International reserves,0.022,0.022,0.019
t-stat.,(1.571),(1.568),(1.373)
Government effectiveness,-2.008**,-1.950*,-1.538
t-stat.,(-2.043),(-1.949),(-1.510)
Regulatory quality,1.658*,1.595*,1.046
t-stat.,(1.860),(1.781),(1.173)
Terms of trade,0.043***,0.043***,0.040***
t-stat.,(2.735),(2.736),(2.594)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.579,0.566,0.671
p(lambda1=0),,0.495,0.664
p(lambda2=0),,,0.029
Observations,1044,1044,1044
Countries,59,59,59
Adjusted R2,0.420,0.420,0.425
