cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
63.28038146791746,1.9668998,1044,1041,3,.99712646,.0028735632,1041,1
65.54722742164171,1.975042,1044,1042,2,.99808431,.0019157088,1042,2
61.71238372425014,1.9755515,1044,1040,4,.99616855,.0038314175,1040,3
59.50965468783111,1.9776269,1044,1039,5,.99521071,.0047892719,1039,4
10.57186998370319,1.9802178,1044,969,75,.92816091,.071839079,969,5
46.39189655786765,1.980315,1044,1027,17,.98371649,.016283525,1026,6
46.57381433371822,1.980315,1044,1027,17,.98371649,.016283525,1027,7
10.8477430173944,1.9806349,1044,970,74,.92911875,.070881225,970,8
10.34332161412321,1.9806707,1044,968,76,.92720306,.072796933,968,9
10.90439649760738,1.9811563,1044,972,72,.93103451,.068965517,971,10
11.02753787714707,1.9811563,1044,972,72,.93103451,.068965517,972,11
11.04250121168291,1.9816402,1044,974,70,.9329502,.067049809,973,12
11.11346868535732,1.9816402,1044,974,70,.9329502,.067049809,974,13
14.76572682941519,1.9822459,1044,996,48,.954023,.045977011,995,14
15.07778645365584,1.9825187,1044,997,47,.95498085,.045019157,996,15
15.38110046705929,1.9825187,1044,997,47,.95498085,.045019157,997,16
50.52064361253786,1.9827404,1044,1031,13,.98754787,.012452107,1031,17
-2.492756565823847,1.9829783,1044,376,668,.36015326,.63984674,375,18
-2.486082498542327,1.9829783,1044,376,668,.36015326,.63984674,376,19
50.18154802050262,1.9829942,1044,1030,14,.98659003,.013409962,1030,20
-2.483415153007143,1.9829948,1044,377,667,.3611111,.6388889,377,21
-2.482548502727719,1.9830624,1044,378,666,.36206895,.63793105,378,22
-2.471726810278333,1.9830803,1044,380,664,.36398467,.6360153,380,23
-2.482393497793117,1.9830837,1044,379,665,.36302683,.6369732,379,24
-2.449563725647657,1.983084,1044,387,657,.37068966,.62931037,386,25
-2.443532363789986,1.9831023,1044,388,656,.37164751,.62835246,387,26
-2.439864601305779,1.9831023,1044,388,656,.37164751,.62835246,388,27
-2.469726150084234,1.983106,1044,381,663,.36494252,.63505745,381,28
-2.414618545170073,1.9831702,1044,393,651,.37643677,.62356323,392,29
-2.409996671902277,1.9831702,1044,393,651,.37643677,.62356323,393,30
-2.420005765366084,1.9833144,1044,391,653,.37452108,.62547892,390,31
-2.417293447765781,1.9833144,1044,391,653,.37452108,.62547892,391,32
-2.438568654948829,1.9833347,1044,390,654,.37356323,.62643677,389,33
-2.400455538885697,1.9833372,1044,398,646,.38122606,.61877394,398,34
-2.409780019625345,1.9833851,1044,395,649,.37835249,.62164754,394,35
-2.408335201600988,1.9833988,1044,396,648,.37931034,.62068963,395,36
-2.406740710878963,1.9833988,1044,396,648,.37931034,.62068963,396,37
-2.456138341516864,1.9834244,1044,385,659,.36877394,.63122606,385,38
-2.462034068800827,1.9834417,1044,384,660,.36781609,.63218391,384,39
-2.46230953562999,1.9834419,1044,383,661,.36685824,.63314176,383,40
52.52830566696541,1.983447,1044,1034,10,.99042147,.0095785437,1034,41
-2.403780556974287,1.9834669,1044,397,647,.38026819,.61973178,397,42
48.15671728790564,1.9835238,1044,1029,15,.98563218,.014367816,1028,43
49.25608889902608,1.9835238,1044,1029,15,.98563218,.014367816,1029,44
-2.463921350944217,1.9836146,1044,382,662,.3659004,.6340996,382,45
-2.396328601326056,1.9836258,1044,400,644,.38314176,.61685824,400,46
-2.398480428422875,1.9836308,1044,399,645,.38218391,.61781609,399,47
12.74553173548591,1.9836466,1044,985,59,.94348657,.05651341,984,48
-2.350377968372603,1.9837351,1044,414,630,.39655173,.60344827,414,49
-2.373542430577263,1.9837474,1044,407,637,.38984674,.61015326,407,50
-2.355895282836046,1.9837561,1044,413,631,.39559388,.60440612,412,51
-2.352190521536622,1.9837561,1044,413,631,.39559388,.60440612,413,52
-2.371105291743536,1.983761,1044,409,635,.39176247,.60823756,408,53
-2.368693884045223,1.983761,1044,409,635,.39176247,.60823756,409,54
-2.378205726180463,1.9837672,1044,404,640,.38697317,.6130268,404,55
-2.341755729161067,1.9837717,1044,415,629,.39750957,.60249043,415,56
-2.377213425213924,1.983786,1044,406,638,.3888889,.6111111,405,57
-2.373584314453527,1.983786,1044,406,638,.3888889,.6111111,406,58
-2.364539518802832,1.9838189,1044,411,633,.39367816,.60632181,410,59
-2.359508459611079,1.9838189,1044,411,633,.39367816,.60632181,411,60
-2.379192088136989,1.9838727,1044,403,641,.38601533,.6139847,403,61
-2.319674735582824,1.9839166,1044,421,623,.40325671,.59674329,420,62
