row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.056,0.174**,0.154*
t-stat.,(0.721),(1.972),(1.753)
G_it_x_theta_F_it,,-0.080**,-0.065*
t-stat.,,(-2.219),(-1.843)
theta_F_it,,,-0.001
t-stat.,,,(-1.462)
Real GDP,8.279***,8.356***,8.195***
t-stat.,(5.422),(5.508),(5.437)
Real GDP growth,-0.337***,-0.356***,-0.361***
t-stat.,(-3.737),(-3.946),(-3.974)
CPI inflation,-0.172**,-0.177**,-0.178**
t-stat.,(-2.077),(-2.104),(-2.078)
Overall balance/GDP,-0.477***,-0.479***,-0.483***
t-stat.,(-5.959),(-6.090),(-6.074)
International reserves,0.022,0.021,0.021
t-stat.,(1.583),(1.466),(1.514)
Government effectiveness,-2.121**,-2.227**,-2.064**
t-stat.,(-2.240),(-2.342),(-2.161)
Regulatory quality,1.573*,1.632*,1.561*
t-stat.,(1.784),(1.854),(1.779)
Terms of trade,0.043***,0.046***,0.046***
t-stat.,(2.728),(2.867),(2.904)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.471,0.049,0.080
p(lambda1=0),,0.027,0.066
p(lambda2=0),,,0.144
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.427,0.428
