cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
21.74299683368019,1.9746797,1060,1055,5,.99528301,.0047169812,1056,1
-1.475984868291527,1.978809,1060,100,960,.094339624,.90566039,101,2
-1.491395944034839,1.9793597,1060,99,961,.093396224,.90660375,100,3
-1.518839837591253,1.9794102,1060,97,963,.091509432,.90849054,98,4
-1.50389489046256,1.9795284,1060,98,962,.092452832,.90754718,99,5
-1.423857058530965,1.9800384,1060,101,959,.095283017,.90471697,102,6
-1.413145882620985,1.9806458,1060,103,957,.097169809,.90283018,104,7
-1.421623349011376,1.9806911,1060,102,958,.096226417,.90377361,103,8
-1.356444091278566,1.9814808,1060,107,953,.10094339,.89905661,108,9
-1.331922690449775,1.9814863,1060,108,952,.10188679,.89811319,109,10
-1.409961993119486,1.9814925,1060,104,956,.098113209,.90188682,105,11
-1.396497196277986,1.9815075,1060,106,954,.1,.89999998,106,12
-1.396427280936478,1.9815075,1060,106,954,.1,.89999998,107,13
-2.186583091418782,1.9819558,1060,68,992,.064150944,.93584907,68,14
-2.169962884684029,1.9819558,1060,68,992,.064150944,.93584907,69,15
-1.331892924476323,1.9819573,1060,109,951,.10283019,.89716983,110,16
-2.146128517490292,1.9820076,1060,69,991,.065094337,.93490565,70,17
-1.320230140445226,1.9820389,1060,110,950,.10377359,.89622641,111,18
-2.833783657053911,1.9820535,1060,45,1015,.042452831,.95754719,46,19
-2.829479813014697,1.9820535,1060,46,1014,.043396227,.95660377,47,20
23.78415386213976,1.9821759,1060,1057,3,.99716979,.0028301887,1058,21
-1.975619766264527,1.9821916,1060,76,984,.071698114,.92830187,77,22
.939648539068595,1.9824017,1060,707,353,.66698116,.33301887,708,23
.940283377158463,1.9824089,1060,708,352,.66792452,.33207548,709,24
.9428153925125534,1.9824097,1060,709,351,.66886795,.33113208,710,25
-2.07766076765262,1.9825709,1060,71,989,.066981129,.93301886,71,26
-2.066606721759139,1.982599,1060,72,988,.067924529,.9320755,72,27
-2.056522048001661,1.982599,1060,72,988,.067924529,.9320755,73,28
.9648410665934823,1.9826216,1060,711,349,.67075473,.32924527,712,29
52.81869496955614,1.9826242,1060,1059,1,.99905658,.00094339624,1060,30
.9641247428149489,1.9826427,1060,710,350,.66981131,.33018869,711,31
5.288529570458447,1.9826454,1060,994,66,.93773586,.062264152,995,32
.9805722376629725,1.9826607,1060,713,347,.67264152,.32735848,714,33
29.50117177841203,1.9826858,1060,1058,2,.99811321,.0018867925,1059,34
.9760960217873518,1.9827858,1060,712,348,.67169809,.32830188,713,35
21.92381871254359,1.9828024,1060,1056,4,.99622643,.003773585,1057,36
5.26035604982135,1.9828625,1060,993,67,.93679243,.063207544,993,37
5.271822260450473,1.9828625,1060,993,67,.93679243,.063207544,994,38
-2.001478199009556,1.9829382,1060,74,986,.069811322,.93018866,74,39
-1.997972931639763,1.9829382,1060,74,986,.069811322,.93018866,75,40
-1.978809376740945,1.982958,1060,75,985,.070754714,.92924529,76,41
-1.849670876005905,1.9829607,1060,80,980,.075471699,.9245283,80,42
-1.848916166639431,1.9829607,1060,80,980,.075471699,.9245283,81,43
-1.276595392849068,1.983016,1060,113,947,.10660377,.8933962,113,44
-1.276230334908175,1.983016,1060,113,947,.10660377,.8933962,114,45
-1.229795476312614,1.9830971,1060,116,944,.10943396,.89056605,116,46
-1.970780394213751,1.9831017,1060,78,982,.073584907,.92641509,78,47
-1.959094035885798,1.9831017,1060,78,982,.073584907,.92641509,79,48
5.349239431878493,1.9831076,1060,995,65,.93867922,.061320756,996,49
-1.267554379490956,1.9832121,1060,114,946,.10754717,.89245284,115,50
-1.839087716852553,1.9832151,1060,81,979,.076415092,.92358488,82,51
-1.308750444672038,1.9832349,1060,112,948,.10566038,.89433962,112,52
-1.817254190942384,1.9832737,1060,85,975,.080188677,.91981131,85,53
-1.812656998152782,1.9832737,1060,85,975,.080188677,.91981131,86,54
-1.831840586525617,1.9832805,1060,84,976,.079245284,.92075473,84,55
-1.218942865794469,1.9832805,1060,117,943,.11037736,.88962263,117,56
-1.210764269484438,1.9832805,1060,117,943,.11037736,.88962263,118,57
-2.340046453648003,1.9833236,1060,57,1003,.053773586,.94622642,58,58
