row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.056,0.123,0.123
t-stat.,(0.721),(1.007),(1.006)
G_it_x_theta_F_it,,-0.044,-0.044
t-stat.,,(-0.865),(-0.863)
theta_F_it,,,0.000
t-stat.,,,(0.017)
Real GDP,8.279***,8.324***,8.324***
t-stat.,(5.422),(5.460),(5.458)
Real GDP growth,-0.337***,-0.340***,-0.340***
t-stat.,(-3.737),(-3.777),(-3.781)
CPI inflation,-0.172**,-0.179**,-0.179**
t-stat.,(-2.077),(-2.071),(-2.071)
Overall balance/GDP,-0.477***,-0.478***,-0.478***
t-stat.,(-5.959),(-5.985),(-5.986)
International reserves,0.022,0.022,0.022
t-stat.,(1.583),(1.602),(1.601)
Government effectiveness,-2.121**,-2.123**,-2.124**
t-stat.,(-2.240),(-2.243),(-2.234)
Regulatory quality,1.573*,1.598*,1.599*
t-stat.,(1.784),(1.804),(1.800)
Terms of trade,0.043***,0.044***,0.044***
t-stat.,(2.728),(2.758),(2.759)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.471,0.314,0.315
p(lambda1=0),,0.387,0.389
p(lambda2=0),,,0.986
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.423,0.423
