row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.011,0.060,0.060
t-stat.,(0.125),(0.601),(0.597)
G_it_x_theta_F_it,,-0.055**,-0.055**
t-stat.,,(-2.025),(-1.978)
theta_F_it,,,-0.000
t-stat.,,,(-0.024)
Real GDP,8.266***,8.097***,8.103***
t-stat.,(5.416),(5.349),(5.288)
Real GDP growth,-0.334***,-0.335***,-0.335***
t-stat.,(-3.606),(-3.691),(-3.680)
CPI inflation,-0.173**,-0.169**,-0.169**
t-stat.,(-2.077),(-2.066),(-2.066)
Overall balance/GDP,-0.475***,-0.470***,-0.470***
t-stat.,(-5.944),(-5.871),(-5.862)
International reserves,0.022,0.020,0.020
t-stat.,(1.566),(1.387),(1.387)
Government effectiveness,-2.081**,-2.076**,-2.075**
t-stat.,(-2.194),(-2.195),(-2.194)
Regulatory quality,1.557*,1.624*,1.626*
t-stat.,(1.758),(1.843),(1.856)
Terms of trade,0.043***,0.043***,0.043***
t-stat.,(2.737),(2.738),(2.748)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.901,0.548,0.551
p(lambda1=0),,0.043,0.048
p(lambda2=0),,,0.981
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.426,0.426
