row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.167,0.375**,0.293**
t-stat.,(0.939),(2.222),(2.101)
G_it_x_theta_F_it,,0.184,0.107
t-stat.,,(1.229),(0.740)
theta_F_it,,,0.004**
t-stat.,,,(2.360)
Real GDP,8.143***,8.123***,7.719***
t-stat.,(5.296),(5.349),(5.142)
Real GDP growth,-0.339***,-0.350***,-0.364***
t-stat.,(-3.756),(-3.830),(-3.964)
CPI inflation,-0.173**,-0.175**,-0.179**
t-stat.,(-2.049),(-2.050),(-2.032)
Overall balance/GDP,-0.478***,-0.481***,-0.489***
t-stat.,(-5.969),(-6.073),(-6.064)
International reserves,0.022,0.019,0.019
t-stat.,(1.530),(1.284),(1.307)
Government effectiveness,-2.059**,-1.906**,-1.665*
t-stat.,(-2.137),(-2.016),(-1.744)
Regulatory quality,1.592*,1.504*,1.303
t-stat.,(1.798),(1.670),(1.466)
Terms of trade,0.042***,0.043***,0.044***
t-stat.,(2.705),(2.727),(2.826)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.348,0.027,0.036
p(lambda1=0),,0.220,0.460
p(lambda2=0),,,0.018
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.424,0.426,0.430
