cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
-2.272143492301661,1.9652911,1060,179,881,.16886793,.83113205,180,1
-2.257509934445422,1.9653654,1060,181,879,.17075472,.82924527,182,2
-2.25378450084386,1.9653811,1060,182,878,.17169811,.82830191,183,3
-2.289581123746966,1.9654968,1060,178,882,.16792452,.83207548,179,4
-2.264828129033968,1.9655434,1060,180,880,.16981132,.83018869,181,5
-2.239431475957518,1.9660627,1060,184,876,.17358491,.82641512,184,6
-2.238836917640238,1.9660627,1060,184,876,.17358491,.82641512,185,7
-2.207536064787983,1.9667218,1060,190,870,.17924528,.82075471,191,8
-2.20786299235578,1.9667219,1060,189,871,.17830189,.82169813,190,9
-2.193872520607597,1.9667416,1060,191,869,.18018869,.81981134,192,10
-2.093582094957733,1.9668108,1060,211,849,.19905661,.80094337,212,11
-2.215005292796473,1.9670211,1060,187,873,.1764151,.82358491,188,12
-2.106707842758682,1.9671651,1060,207,853,.19528303,.804717,208,13
-2.109141856903443,1.9671738,1060,206,854,.19433962,.80566037,207,14
-2.103376455747632,1.967315,1060,209,851,.19716981,.80283016,209,15
-2.230843891915252,1.9674386,1060,186,874,.17547169,.82452828,187,16
-2.138016846212974,1.967451,1060,201,859,.18962264,.81037736,201,17
-2.137192137821572,1.967451,1060,201,859,.18962264,.81037736,202,18
-2.029673844839765,1.9675074,1060,222,838,.20943396,.79056603,223,19
-2.12953850387006,1.9675306,1060,202,858,.19056603,.80943394,203,20
-2.163080124533127,1.9675417,1060,199,861,.18773586,.81226414,199,21
-2.140194499516402,1.9675417,1060,199,861,.18773586,.81226414,200,22
-2.126624564561125,1.9675502,1060,203,857,.19150944,.80849057,204,23
-2.2332022685151,1.9675982,1060,185,875,.1745283,.8254717,186,24
-2.164419635513775,1.9676352,1060,197,863,.18584906,.81415093,198,25
-2.11892342211514,1.967636,1060,205,855,.19339623,.80660379,205,26
-2.111513906225277,1.967636,1060,205,855,.19339623,.80660379,206,27
-2.102703666916209,1.9677922,1060,210,850,.1981132,.8018868,210,28
-2.10192106736618,1.9677922,1060,210,850,.1981132,.8018868,211,29
-2.178829811854206,1.9680244,1060,194,866,.18301886,.81698114,195,30
-2.209351155160211,1.9681759,1060,188,872,.17735849,.82264149,189,31
-2.038414366755023,1.9681774,1060,220,840,.20754717,.79245281,221,32
-2.030507708274691,1.9682798,1060,221,839,.20849057,.79150945,222,33
-2.089137051053175,1.9683808,1060,212,848,.2,.80000001,213,34
-2.079819340584525,1.968565,1060,213,847,.2009434,.79905659,214,35
-2.192186990094494,1.9687965,1060,193,867,.18207547,.8179245,193,36
-2.186046138455406,1.9687965,1060,193,867,.18207547,.8179245,194,37
-2.078338520138484,1.9691501,1060,215,845,.2028302,.7971698,215,38
-2.076629456061671,1.9691501,1060,215,845,.2028302,.7971698,216,39
-2.063231995059981,1.9693789,1060,219,841,.20660378,.79339623,220,40
