row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.167,0.444**,0.403**
t-stat.,(0.939),(2.049),(1.981)
G_it_x_theta_F_it,,0.245,0.200
t-stat.,,(0.989),(0.848)
theta_F_it,,,0.036***
t-stat.,,,(3.792)
Real GDP,8.143***,8.031***,3.823**
t-stat.,(5.296),(5.293),(2.256)
Real GDP growth,-0.339***,-0.344***,-0.399***
t-stat.,(-3.756),(-3.796),(-4.329)
CPI inflation,-0.173**,-0.172**,-0.186**
t-stat.,(-2.049),(-2.033),(-2.225)
Overall balance/GDP,-0.478***,-0.484***,-0.501***
t-stat.,(-5.969),(-6.108),(-6.069)
International reserves,0.022,0.021,0.002
t-stat.,(1.530),(1.440),(0.168)
Government effectiveness,-2.059**,-1.815*,-0.589
t-stat.,(-2.137),(-1.910),(-0.583)
Regulatory quality,1.592*,1.479,-0.650
t-stat.,(1.798),(1.629),(-0.648)
Terms of trade,0.042***,0.042***,0.036**
t-stat.,(2.705),(2.657),(2.462)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.348,0.041,0.048
p(lambda1=0),,0.323,0.397
p(lambda2=0),,,0.000
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.424,0.426,0.452
