cutoff,rss,N,N_low,N_high,share_low,share_high,rank_cutoff,rank_rss
-3.517471433305033,1.9399911,1060,30,1030,.028301887,.97169811,30,1
-3.699137629833337,1.9418788,1060,27,1033,.025471698,.97452831,27,2
-3.586383907995573,1.9421957,1060,29,1031,.027358491,.97264153,29,3
-3.681324916784347,1.9443717,1060,28,1032,.026415095,.97358489,28,4
-4.021978656251436,1.9444178,1060,25,1035,.023584906,.9764151,25,5
-3.766893295804945,1.9446485,1060,26,1034,.024528302,.97547168,26,6
-4.269248901163403,1.9456162,1060,24,1036,.02264151,.97735852,24,7
-3.334408906569629,1.9458355,1060,33,1027,.031132076,.9688679,32,8
-3.23594742601679,1.9458355,1060,33,1027,.031132076,.9688679,33,9
-2.204522189811741,1.9460188,1060,130,930,.12264151,.8773585,129,10
-2.202339680837038,1.9460188,1060,130,930,.12264151,.8773585,130,11
-2.234809654845729,1.9460818,1060,128,932,.12075472,.87924528,127,12
-2.224825975944974,1.9460818,1060,128,932,.12075472,.87924528,128,13
-2.240919099277441,1.9461476,1060,126,934,.11886793,.88113207,125,14
-2.236476521569798,1.9461476,1060,126,934,.11886793,.88113207,126,15
-2.271009201280815,1.9462429,1060,122,938,.11509434,.88490564,122,16
-2.198929326914674,1.9463227,1060,131,929,.1235849,.87641507,131,17
-2.280458854030468,1.9465646,1060,120,940,.11320755,.88679248,120,18
-2.262001696188213,1.946589,1060,123,937,.11603773,.88396227,123,19
-2.175919834076899,1.9466122,1060,136,924,.12830189,.87169814,135,20
-2.17103661571088,1.9466122,1060,136,924,.12830189,.87169814,136,21
-2.189489677360314,1.9466234,1060,132,928,.1245283,.87547171,132,22
-2.296263213741268,1.9466293,1060,117,943,.11037736,.88962263,117,23
-2.277869549534308,1.9466884,1060,121,939,.11415094,.88584906,121,24
-2.188868089562555,1.9467554,1060,133,927,.1254717,.87452829,133,25
-2.299468498370729,1.9469351,1060,116,944,.10943396,.89056605,116,26
