row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.037***,-0.027*,-0.033**
t-stat.,(-2.639),(-1.914),(-2.064)
G_it_x_theta_F_it,,-0.010***,-0.006
t-stat.,,(-3.968),(-1.042)
theta_F_it,,,-0.002
t-stat.,,,(-0.552)
Real GDP,7.852***,3.575**,3.275*
t-stat.,(5.133),(2.282),(1.889)
Real GDP growth,-0.320***,-0.339***,-0.345***
t-stat.,(-3.505),(-3.784),(-3.810)
CPI inflation,-0.166**,-0.171**,-0.172**
t-stat.,(-1.997),(-2.088),(-2.092)
Overall balance/GDP,-0.467***,-0.472***,-0.467***
t-stat.,(-5.837),(-5.781),(-5.667)
International reserves,0.021,0.010,0.010
t-stat.,(1.504),(0.780),(0.724)
Government effectiveness,-2.207**,-1.101,-1.041
t-stat.,(-2.323),(-1.124),(-1.046)
Regulatory quality,1.826**,0.093,0.045
t-stat.,(2.046),(0.101),(0.049)
Terms of trade,0.045***,0.035**,0.036**
t-stat.,(2.818),(2.375),(2.455)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.008,0.056,0.039
p(lambda1=0),,0.000,0.298
p(lambda2=0),,,0.581
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.450,0.450
