row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.021,0.046,0.026
t-stat.,(0.169),(0.376),(0.225)
G_it_x_theta_F_it,,-0.003***,-0.001
t-stat.,,(-3.956),(-0.337)
theta_F_it,,,-0.001
t-stat.,,,(-0.400)
Real GDP,8.157***,3.653**,3.482*
t-stat.,(5.053),(2.178),(1.912)
Real GDP growth,-0.341***,-0.365***,-0.375***
t-stat.,(-3.642),(-3.979),(-3.840)
CPI inflation,-0.174**,-0.176**,-0.179**
t-stat.,(-2.076),(-2.109),(-2.123)
Overall balance/GDP,-0.473***,-0.479***,-0.470***
t-stat.,(-5.926),(-5.826),(-5.519)
International reserves,0.022,0.010,0.009
t-stat.,(1.595),(0.711),(0.707)
Government effectiveness,-2.180**,-1.009,-0.877
t-stat.,(-2.066),(-0.952),(-0.812)
Regulatory quality,1.420,-0.042,-0.226
t-stat.,(1.079),(-0.031),(-0.148)
Terms of trade,0.043***,0.037**,0.036**
t-stat.,(2.737),(2.445),(2.431)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.866,0.707,0.822
p(lambda1=0),,0.000,0.736
p(lambda2=0),,,0.689
Observations,1044,1044,1044
Countries,59,59,59
Adjusted R2,0.420,0.443,0.443
