row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.021,0.038,0.020
t-stat.,(0.169),(0.306),(0.169)
G_it_x_theta_F_it,,-0.003***,-0.002
t-stat.,,(-4.255),(-0.434)
theta_F_it,,,-0.001
t-stat.,,,(-0.340)
Real GDP,8.157***,3.668**,3.506*
t-stat.,(5.053),(2.235),(1.953)
Real GDP growth,-0.341***,-0.365***,-0.373***
t-stat.,(-3.642),(-3.989),(-3.836)
CPI inflation,-0.174**,-0.177**,-0.180**
t-stat.,(-2.076),(-2.104),(-2.096)
Overall balance/GDP,-0.473***,-0.486***,-0.479***
t-stat.,(-5.926),(-5.938),(-5.632)
International reserves,0.022,0.009,0.009
t-stat.,(1.595),(0.683),(0.677)
Government effectiveness,-2.180**,-1.029,-0.908
t-stat.,(-2.066),(-0.974),(-0.843)
Regulatory quality,1.420,0.033,-0.120
t-stat.,(1.079),(0.024),(-0.080)
Terms of trade,0.043***,0.037**,0.037**
t-stat.,(2.737),(2.524),(2.487)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.866,0.760,0.866
p(lambda1=0),,0.000,0.664
p(lambda2=0),,,0.734
Observations,1044,1044,1044
Countries,59,59,59
Adjusted R2,0.420,0.445,0.445
