combo,G,X,table2_G,table2_G_t,table2_B,table2_X,table2_r2,full_GxB,full_GxX,theta_mean,theta_median,debt_baseline_G,debt_continuous_Gtheta,debt_full_theta_main,rss_cutoff,rss_lambda_L,rss_lambda_H,rss_p_equal,N,report
readiness100__vulnerability100,readiness100,vulnerability100,-5.485***,(-3.209),4.499***,0.505,0.901,-27.632***,1.391,9.493,4.003,-0.103***,-0.003***,-0.002,21.182,-0.077*,-0.159***,0.000,1060,result/gx_grid/readiness100__vulnerability100/report.md
readiness100__vulnerability_delta100,readiness100,vulnerability_delta100,-5.258***,(-3.059),4.358***,-2.794,0.901,-27.659***,50.014***,9.589,4.219,-0.103***,-0.003***,-0.002,20.398,-0.080**,-0.159***,0.000,1060,result/gx_grid/readiness100__vulnerability_delta100/report.md
readiness100__capacity,readiness100,capacity,-5.503***,(-3.202),4.531***,1.138,0.901,-27.926***,-9.727,8.774,3.735,-0.103***,-0.003***,-0.002,18.470,-0.081**,-0.159***,0.001,1060,result/gx_grid/readiness100__capacity/report.md
readiness100__sensitivity,readiness100,sensitivity,-5.342***,(-3.147),4.512***,-3.423,0.901,-28.078***,35.924***,9.438,4.054,-0.103***,-0.003***,-0.002,21.805,-0.077*,-0.165***,0.000,1060,result/gx_grid/readiness100__sensitivity/report.md
EcoReadiness100__vulnerability100,EcoReadiness100,vulnerability100,-1.869***,(-3.304),4.383***,1.514,0.900,-8.758***,-2.094,2.935,1.235,-0.037***,-0.010***,-0.002,8.021,-0.036**,-0.132***,0.000,1060,result/gx_grid/EcoReadiness100__vulnerability100/report.md
EcoReadiness100__vulnerability_delta100,EcoReadiness100,vulnerability_delta100,-1.761***,(-3.091),4.258***,-2.342,0.900,-8.930***,25.324***,3.389,1.635,-0.037***,-0.009***,-0.002,7.130,-0.032**,-0.118***,0.000,1060,result/gx_grid/EcoReadiness100__vulnerability_delta100/report.md
EcoReadiness100__capacity,EcoReadiness100,capacity,-1.891***,(-3.319),4.427***,1.827,0.900,-9.727***,-7.438**,2.519,0.937,-0.037***,-0.010***,-0.002,4.932,-0.033**,-0.114***,0.001,1060,result/gx_grid/EcoReadiness100__capacity/report.md
EcoReadiness100__sensitivity,EcoReadiness100,sensitivity,-1.808***,(-3.205),4.393***,-3.810,0.900,-9.171***,10.797**,3.125,1.350,-0.037***,-0.010***,-0.002,7.181,-0.032**,-0.124***,0.000,1060,result/gx_grid/EcoReadiness100__sensitivity/report.md
governance100__vulnerability100,governance100,vulnerability100,-9.714**,(-2.373),4.323***,-2.960,0.901,-21.252***,-6.575,9.481,5.053,0.021,-0.003***,-0.001,19.374,0.036,-0.029,0.001,1044,result/gx_grid/governance100__vulnerability100/report.md
governance100__vulnerability_delta100,governance100,vulnerability_delta100,-10.556**,(-2.548),4.116***,-4.990*,0.901,-21.164***,24.176,9.166,4.769,0.021,-0.003***,-0.001,19.123,0.034,-0.038,0.000,1044,result/gx_grid/governance100__vulnerability_delta100/report.md
governance100__capacity,governance100,capacity,-9.678**,(-2.377),4.349***,0.094,0.901,-21.391***,-3.184,9.417,5.002,0.021,-0.003***,-0.001,19.275,0.038,-0.029,0.001,1044,result/gx_grid/governance100__capacity/report.md
governance100__sensitivity,governance100,sensitivity,-9.657**,(-2.362),4.378***,-5.119,0.901,-22.168***,52.742**,10.045,5.607,0.021,-0.003***,-0.001,21.504,0.039,-0.032,0.000,1044,result/gx_grid/governance100__sensitivity/report.md
social100__vulnerability100,social100,vulnerability100,0.182,(0.108),4.290***,-1.949,0.899,-17.656***,42.520*,1.755,-0.748,-0.020,-0.004***,-0.011**,8.293,0.022,-0.052,0.001,1060,result/gx_grid/social100__vulnerability100/report.md
social100__vulnerability_delta100,social100,vulnerability_delta100,0.034,(0.020),4.126***,-4.052,0.900,-17.879***,69.240***,0.727,-1.420,-0.020,-0.004***,-0.009,6.881,0.016,-0.073,0.001,1060,result/gx_grid/social100__vulnerability_delta100/report.md
social100__capacity,social100,capacity,0.267,(0.158),4.321***,0.699,0.899,-17.693***,5.683,2.170,-0.796,-0.020,-0.004***,-0.011**,7.334,0.034,-0.063,0.000,1060,result/gx_grid/social100__capacity/report.md
social100__sensitivity,social100,sensitivity,0.310,(0.189),4.333***,-5.786,0.899,-18.353***,62.517***,0.988,-0.733,-0.020,-0.004***,-0.012*,5.112,0.030,-0.055,0.001,1060,result/gx_grid/social100__sensitivity/report.md
readiness_delta100__vulnerability100,readiness_delta100,vulnerability100,-2.622*,(-1.829),4.534***,-3.187,0.900,-21.800***,-8.271,6.481,2.417,-0.073,-0.009**,-0.002**,11.693,-0.050,-0.324***,0.018,1060,result/gx_grid/readiness_delta100__vulnerability100/report.md
readiness_delta100__vulnerability_delta100,readiness_delta100,vulnerability_delta100,-4.634***,(-2.804),4.339***,-8.706***,0.900,-22.070***,26.799**,8.014,3.660,-0.073,-0.009**,-0.002**,9.356,-0.047,-0.243***,0.001,1060,result/gx_grid/readiness_delta100__vulnerability_delta100/report.md
readiness_delta100__capacity,readiness_delta100,capacity,-2.584*,(-1.814),4.555***,-0.023,0.900,-22.125***,-10.828,6.291,2.460,-0.073,-0.009**,-0.002**,5.654,-0.031,-0.232***,0.001,1060,result/gx_grid/readiness_delta100__capacity/report.md
readiness_delta100__sensitivity,readiness_delta100,sensitivity,-2.589*,(-1.807),4.592***,-5.774,0.900,-24.443***,47.344***,6.916,2.532,-0.073,-0.009**,-0.002**,8.033,-0.046,-0.250***,0.003,1060,result/gx_grid/readiness_delta100__sensitivity/report.md
