row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.103***,-0.074*,-0.084**
t-stat.,(-2.614),(-1.858),(-1.981)
G_it_x_theta_F_it,,-0.003***,0.001
t-stat.,,(-3.661),(0.160)
theta_F_it,,,-0.002
t-stat.,,,(-0.622)
Real GDP,8.171***,4.072***,3.793**
t-stat.,(5.412),(2.667),(2.245)
Real GDP growth,-0.326***,-0.346***,-0.367***
t-stat.,(-3.610),(-3.909),(-3.788)
CPI inflation,-0.166**,-0.171**,-0.173**
t-stat.,(-1.976),(-2.054),(-2.109)
Overall balance/GDP,-0.468***,-0.468***,-0.455***
t-stat.,(-5.849),(-5.730),(-5.392)
International reserves,0.020,0.010,0.010
t-stat.,(1.465),(0.777),(0.742)
Government effectiveness,-1.913**,-0.887,-0.795
t-stat.,(-2.020),(-0.912),(-0.789)
Regulatory quality,1.921**,0.487,0.124
t-stat.,(2.155),(0.529),(0.113)
Terms of trade,0.044***,0.036**,0.037**
t-stat.,(2.774),(2.389),(2.559)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.009,0.063,0.048
p(lambda1=0),,0.000,0.873
p(lambda2=0),,,0.534
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.445,0.446
