row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.103***,-0.075*,-0.085**
t-stat.,(-2.614),(-1.892),(-1.990)
G_it_x_theta_F_it,,-0.003***,0.001
t-stat.,,(-3.901),(0.107)
theta_F_it,,,-0.002
t-stat.,,,(-0.584)
Real GDP,8.171***,3.980***,3.708**
t-stat.,(5.412),(2.650),(2.226)
Real GDP growth,-0.326***,-0.345***,-0.364***
t-stat.,(-3.610),(-3.906),(-3.775)
CPI inflation,-0.166**,-0.172**,-0.174**
t-stat.,(-1.976),(-2.050),(-2.093)
Overall balance/GDP,-0.468***,-0.472***,-0.459***
t-stat.,(-5.849),(-5.790),(-5.427)
International reserves,0.020,0.010,0.010
t-stat.,(1.465),(0.759),(0.726)
Government effectiveness,-1.913**,-0.899,-0.798
t-stat.,(-2.020),(-0.929),(-0.792)
Regulatory quality,1.921**,0.487,0.122
t-stat.,(2.155),(0.535),(0.110)
Terms of trade,0.044***,0.036**,0.037**
t-stat.,(2.774),(2.428),(2.567)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.009,0.059,0.047
p(lambda1=0),,0.000,0.915
p(lambda2=0),,,0.559
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.446,0.447
