row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.073,-0.035,-0.016
t-stat.,(-1.463),(-0.641),(-0.299)
G_it_x_theta_F_it,,-0.009**,0.001
t-stat.,,(-2.254),(0.162)
theta_F_it,,,-0.002**
t-stat.,,,(-2.186)
Real GDP,8.143***,7.201***,3.795**
t-stat.,(5.436),(4.975),(1.966)
Real GDP growth,-0.342***,-0.349***,-0.372***
t-stat.,(-3.715),(-3.814),(-4.101)
CPI inflation,-0.173**,-0.172**,-0.178**
t-stat.,(-2.053),(-2.012),(-2.183)
Overall balance/GDP,-0.480***,-0.481***,-0.462***
t-stat.,(-6.090),(-5.980),(-5.699)
International reserves,0.018,0.017,0.010
t-stat.,(1.299),(1.220),(0.755)
Government effectiveness,-1.777*,-1.431,-0.890
t-stat.,(-1.895),(-1.508),(-0.899)
Regulatory quality,1.637*,1.157,-0.088
t-stat.,(1.857),(1.296),(-0.092)
Terms of trade,0.044***,0.040***,0.037**
t-stat.,(2.845),(2.600),(2.469)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.144,0.522,0.765
p(lambda1=0),,0.024,0.871
p(lambda2=0),,,0.029
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.430,0.444
