row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.020,0.049,0.091
t-stat.,(-0.296),(0.687),(1.184)
G_it_x_theta_F_it,,-0.004***,0.015
t-stat.,,(-3.234),(1.462)
theta_F_it,,,-0.012*
t-stat.,,,(-1.900)
Real GDP,8.375***,4.606***,3.419*
t-stat.,(5.067),(2.658),(1.800)
Real GDP growth,-0.338***,-0.338***,-0.374***
t-stat.,(-3.558),(-3.667),(-4.014)
CPI inflation,-0.172**,-0.180**,-0.180**
t-stat.,(-2.068),(-2.164),(-2.301)
Overall balance/GDP,-0.474***,-0.473***,-0.456***
t-stat.,(-5.934),(-5.947),(-5.551)
International reserves,0.022,0.017,0.015
t-stat.,(1.543),(1.211),(1.127)
Government effectiveness,-2.007**,-1.556*,-1.243
t-stat.,(-2.221),(-1.710),(-1.310)
Regulatory quality,1.453,0.932,-0.167
t-stat.,(1.506),(1.006),(-0.160)
Terms of trade,0.043***,0.039**,0.041***
t-stat.,(2.638),(2.550),(2.737)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.768,0.492,0.237
p(lambda1=0),,0.001,0.144
p(lambda2=0),,,0.058
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.423,0.436,0.452
