varname,N,mean,sd,median
bond_spreads,1250,2.3203049,4.3448477,.70836246
bond_10y,1250,5.5250158,4.3016205,4.5579605
governance100,1250,63.758656,18.07584,66.127197
vulnerability100,1250,36.245014,7.1289425,34.449791
debt_ratio,1250,62.015461,34.933372,55.327499
lnrgdp,1250,8.0609837,2.8285122,7.6178808
growth,1250,3.0143721,3.4937985,3.0525
inflation_cpi,1249,3.7672403,4.5583425,2.5409999
OB_gdp,1224,-.54460216,3.4977424,-.523
reserves,1247,6.3289757,14.37536,2.6001217
gee,1168,.83281606,.86297977,.92230541
rqe,1168,.7962274,.82250321,.97395372
tt,1160,100.98479,12.540078,99.800003
