row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.103***,-0.073*,-0.083*
t-stat.,(-2.614),(-1.843),(-1.959)
G_it_x_theta_F_it,,-0.003***,0.001
t-stat.,,(-3.772),(0.136)
theta_F_it,,,-0.209
t-stat.,,,(-0.605)
Real GDP,8.171***,3.989***,3.746**
t-stat.,(5.412),(2.636),(2.272)
Real GDP growth,-0.326***,-0.344***,-0.365***
t-stat.,(-3.610),(-3.895),(-3.775)
CPI inflation,-0.166**,-0.172**,-0.173**
t-stat.,(-1.976),(-2.052),(-2.103)
Overall balance/GDP,-0.468***,-0.470***,-0.456***
t-stat.,(-5.849),(-5.743),(-5.396)
International reserves,0.020,0.010,0.010
t-stat.,(1.465),(0.773),(0.737)
Government effectiveness,-1.913**,-0.868,-0.766
t-stat.,(-2.020),(-0.894),(-0.757)
Regulatory quality,1.921**,0.481,0.118
t-stat.,(2.155),(0.524),(0.107)
Terms of trade,0.044***,0.035**,0.037**
t-stat.,(2.774),(2.382),(2.544)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.009,0.066,0.050
p(lambda1=0),,0.000,0.892
p(lambda2=0),,,0.545
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.445,0.446
