start_year,end_year,split,theta_p20,theta_p50,theta_p80,b_bottom,se_bottom,t_bottom,p_bottom,N_bottom,N_countries_bottom,r2_bottom,b_top,se_top,t_top,p_top,N_top,N_countries_top,r2_top,bottom_positive,top_negative,target_pattern,bottom_sig,top_sig
1995,2023,50,1.971451404745762,4.963572,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20601542,.12135472,.90346485,522,46,.46473274,1,0,0,0,0
1995,2023,20,1.971451404745762,4.963572,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
1996,2023,50,1.971451404745762,4.963572,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20601542,.12135472,.90346485,522,46,.46473274,1,0,0,0,0
1996,2023,20,1.971451404745762,4.963572,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
1997,2023,50,1.971451404745762,4.963572,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20601542,.12135472,.90346485,522,46,.46473274,1,0,0,0,0
1997,2023,20,1.971451404745762,4.963572,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
1998,2023,50,1.971451404745762,4.963572,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20601542,.12135472,.90346485,522,46,.46473274,1,0,0,0,0
1998,2023,20,1.971451404745762,4.963572,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
1999,2023,50,1.971451404744908,4.9583845,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20581798,.12147113,.9033727,521,46,.46574366,1,0,0,0,0
1999,2023,20,1.971451404744908,4.9583845,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
2000,2023,50,1.971451404744908,4.9583845,13.044356,.020815115,.1258029,.16545816,.86865717,522,39,.48096699,.025000945,.20581798,.12147113,.9033727,521,46,.46574366,1,0,0,0,0
2000,2023,20,1.971451404744908,4.9583845,13.044356,.010819384,.23639083,.045769051,.96355522,209,29,.45668322,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744,1,1,1,0,0
2001,2023,50,1.907635843217426,4.8671708,12.8247,.053811643,.12397963,.43403617,.66447395,510,39,.48396406,.013144244,.21487936,.061170343,.95125163,509,45,.46800199,1,0,0,0,0
2001,2023,20,1.907635843217426,4.8671708,12.8247,.18008548,.22552606,.79851294,.42587879,203,29,.48301977,-.031646922,.42093384,-.075182647,.94016826,203,22,.62950879,1,1,1,0,0
2002,2023,50,1.907635843217426,4.8671708,12.8247,.053811643,.12397963,.43403617,.66447395,510,39,.48396406,.013144244,.21487936,.061170343,.95125163,509,45,.46800199,1,0,0,0,0
2002,2023,20,1.907635843217426,4.8671708,12.8247,.18008548,.22552606,.79851294,.42587879,203,29,.48301977,-.031646922,.42093384,-.075182647,.94016826,203,22,.62950879,1,1,1,0,0
2003,2023,50,1.808630912033189,4.7491364,12.689494,.012481766,.12463507,.1001465,.92027503,495,40,.49526444,.032344282,.2212725,.14617398,.88385367,495,44,.47225627,1,0,0,0,0
2003,2023,20,1.808630912033189,4.7491364,12.689494,.096831717,.2250182,.43032837,.6676138,198,29,.50730944,-.019825382,.42405453,-.046751969,.96277392,198,22,.62972564,1,1,1,0,0
2004,2023,50,1.594192285272091,4.4283409,12.341959,-.032144565,.13636956,-.23571658,.8137697,479,40,.48946661,.013343515,.22733162,.058696255,.95322287,478,44,.47332409,0,0,0,0,0
